JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AD	A Nouveaux Détaillés	1	20111231	401000	Fournisseurs	FAVANG	Avangarde auto	TAXISFAR	20111231	AVANGARDE AUTO	0,00	174,01	A	20121231	20170130		
AD	A Nouveaux Détaillés	1	20120101	445620	Tva sur immobilisations			TAXISFAR	20120101	Tva s/immobilisation	670,73	0,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120103	445717	Tva collectée tva 7%			TAXISFAR	20120103	REMISE CHQ	0,00	191,99			20170130		
AD	A Nouveaux Détaillés	1	20120131	445716	Tva collectée19.60%			TAXISFAR	20120131	TVA COLLECT19.60%	0,00	0,88	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120229	445716	Tva collectée19.60%			TAXISFAR	20120229	TVA COLLECT19.60%	0,00	1,77	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120331	445716	Tva collectée19.60%			TAXISFAR	20120331	TVA COLLECT19.60%	0,00	1,77	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120430	445716	Tva collectée19.60%			TAXISFAR	20120430	TVA COLLECT19.60%	0,00	3,69	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120531	445716	Tva collectée19.60%			TAXISFAR	20120531	TVA COLLECT19.60%	0,00	1,77	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120630	445716	Tva collectée19.60%			TAXISFAR	20120630	TVA COLLECT19.60%	0,00	2,13	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120731	445620	Tva sur immobilisations			TAXISFAR	20120731	TVA B/S ET SERVICE TAUX NORM	147,39	0,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120731	445620	Tva sur immobilisations			TAXISFAR	20120731	TVA B/S ET SERVICE TAUX NORM	18,19	0,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120731	445716	Tva collectée19.60%			TAXISFAR	20120731	TVA COLLECT19.60%	0,00	6,01	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120831	445620	Tva sur immobilisations			TAXISFAR	20120831	TVA SUR IMMOB	4342,81	0,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120831	445716	Tva collectée19.60%			TAXISFAR	20120831	TVA COLLECT19.60%	0,00	3,68	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120930	445620	Tva sur immobilisations			TAXISFAR	20120930	TVA 09/2012	0,00	4313,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120930	445620	Tva sur immobilisations			TAXISFAR	20120930	TVA B/S ET SERVICE TAUX NORM	176,43	0,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20120930	445716	Tva collectée19.60%			TAXISFAR	20120930	TVA COLLECT19.60%	0,00	4,80	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20121031	445620	Tva sur immobilisations			TAXISFAR	20121031	TVA SUR IMMOB TURBO JAGUAR	104,96	0,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20121031	445620	Tva sur immobilisations			TAXISFAR	20121031	TVA SUR IMMOB	439,88	0,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20121031	445670	Crédit de tva a reporter			TAXISFAR	20121031	TVA 10/12	112,00	0,00	D	20141031	20170130		
AD	A Nouveaux Détaillés	1	20121130	445620	Tva sur immobilisations			TAXISFAR	20121130	TVA SUR IMMOB	607,34	0,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20121130	445620	Tva sur immobilisations			TAXISFAR	20121130	TVA B/S ET SERVICE TAUX NORM	117,48	0,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20121231	445716	Tva collectée19.60%			TAXISFAR	20121231	TVA COLLECT19.60%	0,00	2,20	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20121231	445716	Tva collectée19.60%			TAXISFAR	20121231	sfar recette	0,00	31,46	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20121231	401000	Fournisseurs	FAVANG	Avangarde auto	TAXISFAR	20121231	Avangarde auto réglé perso	174,01	0,00	A	20121231	20170130		
AD	A Nouveaux Détaillés	1	20130101	445660	Tva sur biens & services			TAXISFAR	20130101	Tva s/autres biens & services	0,00	2283,88	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20130102	108000	Compte de l'exploitant			TAXISFAR	20130102	VIR PERSO	600,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130118	108000	Compte de l'exploitant			TAXISFAR	20130118	RBT ASS 4TR12 PERSO	684,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130201	108000	Compte de l'exploitant			TAXISFAR	20130201	VIR PERSO	600,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130201	445620	Tva sur immobilisations			TAXISFAR	20130201	LOGICIEL EBP 2013	24,55	0,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20130214	108000	Compte de l'exploitant			TAXISFAR	20130214	MEHARI TUBES DE FREIN PERSO	718,33	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130228	445716	Tva collectée19.60%			TAXISFAR	20130228	PEAGES 02.2013	0,00	2,45	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20130301	108000	Compte de l'exploitant			TAXISFAR	20130301	VIR PERSO	600,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130331	445716	Tva collectée19.60%			TAXISFAR	20130331	PEAGES 03.2013	0,00	2,45	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20130402	108000	Compte de l'exploitant			TAXISFAR	20130402	PREL PERSO	600,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130404	401000	Fournisseurs	FTAXIS	TAXI SFAR-R	TAXISFAR	20130404	TAXI SFAR-R TRANSPORT 04/04/13	0,00	236,60			20170130		
AD	A Nouveaux Détaillés	1	20130430	445716	Tva collectée19.60%			TAXISFAR	20130430	PEAGES 04.2013	0,00	4,52	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20130502	108000	Compte de l'exploitant			TAXISFAR	20130502	PREL PERSO	600,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130515	108000	Compte de l'exploitant			TAXISFAR	20130515	MINI PELLE ACHAT PERSO	1649,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130525	108000	Compte de l'exploitant			TAXISFAR	20130525	EQUIP AUTO PEINTURE VEH PERSO	58,53	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130531	445716	Tva collectée19.60%			TAXISFAR	20130531	PEAGES 05.2013	0,00	0,29	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20130531	401000	Fournisseurs	FFITEC	FITECO	TAXISFAR	20130531	FITECO 2E ACPTE 2012	0,00	1255,80	A	20140507	20170130		
AD	A Nouveaux Détaillés	1	20130610	108000	Compte de l'exploitant			TAXISFAR	20130610	IMPUTATION FRAIS HOPITAL PERSO	20,63	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130611	108000	Compte de l'exploitant			TAXISFAR	20130611	SP95	42,03	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130630	445716	Tva collectée19.60%			TAXISFAR	20130630	PEAGES 06.2013	0,00	0,79	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20130630	445717	Tva collectée tva 7%			TAXISFAR	20130630	CLIENTS 06.2013 A REGUL 7%	0,00	22,84			20170130		
AD	A Nouveaux Détaillés	1	20130630	401000	Fournisseurs	FFITEC	FITECO	TAXISFAR	20130630	FITECO 3E ACPTE 2012	0,00	1255,80	A	20140507	20170130		
AD	A Nouveaux Détaillés	1	20130702	108000	Compte de l'exploitant			TAXISFAR	20130702	BRICO PERSO	38,45	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130708	401000	Fournisseurs	FFITEC	FITECO	TAXISFAR	20130708	FITECO FORMATION EBP	0,00	388,70			20170130		
AD	A Nouveaux Détaillés	1	20130819	108900	Apport personnel			TAXISFAR	20130819	IMPERATOR INDUSTRIE PERSO	0,00	767,11	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130831	445716	Tva collectée19.60%			TAXISFAR	20130831	PEAGES 08.2013	0,00	6,50	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20130904	108000	Compte de l'exploitant			TAXISFAR	20130904	VIRT PERSO	600,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130920	108000	Compte de l'exploitant			TAXISFAR	20130920	COLIS SERVICES  FORD TRANSIT	500,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130923	108000	Compte de l'exploitant			TAXISFAR	20130923	CB EQUIP AUTO PERSO	64,34	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130926	108000	Compte de l'exploitant			TAXISFAR	20130926	EUROMASTER CB PERSO	444,31	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20130930	411000	Clients			TAXISFAR	20130930	TRON 7%	28,25	0,00	AY	20140831	20170130		
AD	A Nouveaux Détaillés	1	20130930	445716	Tva collectée19.60%			TAXISFAR	20130930	PEAGES 09.2013	0,00	4,29	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20131004	108000	Compte de l'exploitant			TAXISFAR	20131004	VIR PERSO	600,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20131010	401000	Fournisseurs	FPAG	Pages jaunes	TAXISFAR	20131010	PAGES JAUNES 2013-2014	0,00	162,95	A	20140214	20170130		
AD	A Nouveaux Détaillés	1	20131010	401000	Fournisseurs	FPAG	Pages jaunes	TAXISFAR	20131010	PAGES JAUNES 2013-2014	0,00	162,97	A	20140214	20170130		
AD	A Nouveaux Détaillés	1	20131031	411000	Clients			TAXISFAR	20131031	JANSSEN 7%	248,25	0,00	A	20140211	20170130		
AD	A Nouveaux Détaillés	1	20131031	445716	Tva collectée19.60%			TAXISFAR	20131031	PEAGES 10.2013	0,00	1,24	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20131105	108000	Compte de l'exploitant			TAXISFAR	20131105	VIR PERSO	600,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20131107	401000	Fournisseurs	FMIR	Carroserie mir	TAXISFAR	20131107	CARROSSERIE MIR SINISTRE 09/09	0,00	187,77	A	20140116	20170130		
AD	A Nouveaux Détaillés	1	20131116	445660	Tva sur biens & services			TAXISFAR	20131116	AD REP S/ MERCEDES VITO	42,36	0,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20131120	108000	Compte de l'exploitant			TAXISFAR	20131120	CONTRAVENTION ALLO CHRIS TAXI	45,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20131122	445660	Tva sur biens & services			TAXISFAR	20131122	EQUIP AUTO PIECES VITO	7,21	0,00	A	20141231	20170130		
AD	A Nouveaux Détaillés	1	20131127	401000	Fournisseurs	FCOFIR	Cofiroute	TAXISFAR	20131127	RBT BADGE COFIROUTE 	30,00	0,00	A	20140321	20170130		
AD	A Nouveaux Détaillés	1	20131130	411000	Clients			TAXISFAR	20131130	DORE 7%	31,56	0,00	AT	20140703	20170130		
AD	A Nouveaux Détaillés	1	20131130	445716	Tva collectée19.60%			TAXISFAR	20131130	PEAGES 11.2013	0,00	0,46	B	20141231	20170130		
AD	A Nouveaux Détaillés	1	20131202	108000	Compte de l'exploitant			TAXISFAR	20131202	VIR PERSO	600,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20131205	108000	Compte de l'exploitant			TAXISFAR	20131205	CHQ N°0275 PERSO	323,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20131224	108000	Compte de l'exploitant			TAXISFAR	20131224	CHQ N°0280 PERSO	600,00	0,00	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20131231	108000	Compte de l'exploitant			TAXISFAR	20131231	BVP 02+03/2013 PAYE PERSO	0,00	74,58	A	20140101	20170130		
AD	A Nouveaux Détaillés	1	20131231	108000	Compte de l'exploitant			TAXISFAR	20131231	VTE A PARTICULIER TTC ESPACE	500,00	0,00	A	20140101	20170130		
