JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Montant	Sens	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AC*H	ACHATS	ACH-1	20120401	401000	COLLECTIF FOURNISSEURS	X401COMSAVIGNE	401COMSAVIGNECOMMUNE DE SAVIGNE L'EVE	120401	20120401	COMMUNE DE SAVIGNE	615,37	C			20130715		
ACH	ACHATS	ACH-1	20120401	601200	ACHATS SANS TAXES			120401	20120401	COMMUNE DE SAVIGNE	615,37	D			20130715		
ACH	ACHATS	ACH-2	20120401	401000	COLLECTIF FOURNISSEURS	X401BENTO	401BENTO     BENTO BG	120402	20120401	BENTO BG	7000	C			20130715		
ACH	ACHATS	ACH-2	20120401	601200	ACHATS SANS TAXES			120402	20120401	BENTO BG	7000	D			20130715		
ACH	ACHATS	ACH-3	20120401	401000	COLLECTIF FOURNISSEURS	X401FERNANDES	401FERNANDES FERNANDES BG	120403	20120401	FERNANDES BG	5000	C			20130715		
ACH	ACHATS	ACH-3	20120401	601200	ACHATS SANS TAXES			120403	20120401	FERNANDES BG	5000	D			20130715		
ACH	ACHATS	ACH-4	20120401	401000	COLLECTIF FOURNISSEURS	X401DUBOIS	401DUBOIS    DUBOIS BG	120404	20120401	DUBOIS BG	6620	C			20130715		
ACH	ACHATS	ACH-4	20120401	601200	ACHATS SANS TAXES			120404	20120401	DUBOIS BG	6620	D			20130715		
ACH	ACHATS	ACH-5	20120401	401000	COLLECTIF FOURNISSEURS	X401CCMB	401CCMB      C.C.M.B	120416	20120401	C.C.M.B AVOIR/FACT	2400,8	D			20130715		
ACH	ACHATS	ACH-5	20120401	445660	TVA DEDUCTIBLE			120416	20120401	C.C.M.B AVOIR/FACT	393,44	C			20130715		
ACH	ACHATS	ACH-5	20120401	615000	REPARATIONS MATERIEL			120416	20120401	C.C.M.B AVOIR/FACT	2007,36	C			20130715		
ACH	ACHATS	ACH-6	20120401	401000	COLLECTIF FOURNISSEURS	X401LARD	401LARD      LARDIERGAZ	120419	20120401	LARDIERGAZ	84,75	C			20130715		
ACH	ACHATS	ACH-6	20120401	445660	TVA DEDUCTIBLE			120419	20120401	LARDIERGAZ	13,89	D			20130715		
ACH	ACHATS	ACH-6	20120401	606130	GAZ			120419	20120401	LARDIERGAZ	70,86	D			20130715		
ACH	ACHATS	ACH-7	20120404	401000	COLLECTIF FOURNISSEURS	X401TELECOM	401TELECOM   TELECOM	120412	20120404	TELECOM INTERNET	47,84	C			20130715		
ACH	ACHATS	ACH-7	20120404	445660	TVA DEDUCTIBLE			120412	20120404	TELECOM INTERNET	7,84	D			20130715		
ACH	ACHATS	ACH-7	20120404	626200	TELEPHONE			120412	20120404	TELECOM INTERNET	40	D			20130715		
ACH	ACHATS	ACH-8	20120405	401000	COLLECTIF FOURNISSEURS	X401DIVERS	401DIVERS    DIVERS	120405	20120405	AUBERGE DE ABBAYE	52,5	C			20130715		
ACH	ACHATS	ACH-8	20120405	445660	TVA DEDUCTIBLE			120405	20120405	AUBERGE DE ABBAYE	3,43	D			20130715		
ACH	ACHATS	ACH-8	20120405	625600	RECEPTION			120405	20120405	AUBERGE DE ABBAYE	49,07	D			20130715		
ACH	ACHATS	ACH-9	20120405	401000	COLLECTIF FOURNISSEURS	X401DIVERS	401DIVERS    DIVERS	120406	20120405	AUBERGE DE ABBAYE	12,9	C			20130715		
ACH	ACHATS	ACH-9	20120405	445660	TVA DEDUCTIBLE			120406	20120405	AUBERGE DE ABBAYE	2,11	D			20130715		
ACH	ACHATS	ACH-9	20120405	625600	RECEPTION			120406	20120405	AUBERGE DE ABBAYE	10,79	D			20130715		
ACH	ACHATS	ACH-10	20120405	401000	COLLECTIF FOURNISSEURS	X401DIVERS	401DIVERS    DIVERS	120407	20120405	AUBERGE DE ABBAYE	4,8	C			20130715		
ACH	ACHATS	ACH-10	20120405	445660	TVA DEDUCTIBLE			120407	20120405	AUBERGE DE ABBAYE	0,25	D			20130715		
ACH	ACHATS	ACH-10	20120405	625600	RECEPTION			120407	20120405	AUBERGE DE ABBAYE	4,55	D			20130715		
ACH	ACHATS	ACH-11	20120406	401000	COLLECTIF FOURNISSEURS	X401EDF	401EDF       EDF	120411	20120406	EDF	4427,1	C			20130715		
ACH	ACHATS	ACH-11	20120406	445660	TVA DEDUCTIBLE			120411	20120406	EDF	725,51	D			20130715		
ACH	ACHATS	ACH-11	20120406	606100	E.D.F.			120411	20120406	EDF	3701,59	D			20130715		
ACH	ACHATS	ACH-12	20120406	401000	COLLECTIF FOURNISSEURS	X401SUPERPNEUS	401SUPERPNEUSSUPERPNEUS	120426	20120406	SUPERPNEUS	1715,06	C			20130715		
ACH	ACHATS	ACH-12	20120406	445660	TVA DEDUCTIBLE			120426	20120406	SUPERPNEUS	281,06	D			20130715		
ACH	ACHATS	ACH-12	20120406	615000	REPARATIONS MATERIEL			120426	20120406	SUPERPNEUS	1434	D			20130715		
ACH	ACHATS	ACH-13	20120407	401000	COLLECTIF FOURNISSEURS	X401CARREFO	401CARREFO   CARREFOUR MARKET	120413	20120407	CARREFOUR MARKET	22,87	C			20130715		
AC*H	ACHATS	ACH-13	20120407	445660	TVA DEDUCTIBLE			120413	20120407	CARREFOUR MARKET	3,75	D			20130715		
ACH	ACHATS	ACH-13	20120407	606400	ACH.FOURN.ADMINISTRATIVES			120413	20120407	CARREFOUR MARKET	19,12	D			20130715		
ACH	ACHATS	ACH-14	20120411	401000	COLLECTIF FOURNISSEURS	X401FOUQUET	401FOUQUET   FOUQUET	120420	20120411	FOUQUET	296,01	C			20130715		
ACH	ACHATS	ACH-14	20120411	445660	TVA DEDUCTIBLE			120420	20120411	FOUQUET	48,51	D			20130715		
ACH	ACHATS	ACH-14	20120411	615500	ENTRETIEN CHANTIER			120420	20120411	FOUQUET	247,5	D			20130715		
ACH	ACHATS	ACH-15	20120411	401000	COLLECTIF FOURNISSEURS	X401ONF	401ONF       ONF BG	120437	20120411	ONF BG	23531,98	C			20130715		
ACH	ACHATS	ACH-15	20120411	445660	TVA DEDUCTIBLE			120437	20120411	ONF BG	1539,48	D			20130715		
ACH	ACHATS	ACH-15	20120411	601000	ACH.MATIERES PREMIERES			120437	20120411	ONF BG	21992,5	D			20130715		
ACH	ACHATS	ACH-16	20120413	401000	COLLECTIF FOURNISSEURS	X401TELECOM	401TELECOM   TELECOM	120408	20120413	TELECOM	117,55	C			20130715		
ACH	ACHATS	ACH-16	20120413	445660	TVA DEDUCTIBLE			120408	20120413	TELECOM	19,26	D			20130715		
ACH	ACHATS	ACH-16	20120413	626200	TELEPHONE			120408	20120413	TELECOM	98,29	D			20130715		
ACH	ACHATS	ACH-17	20120417	401000	COLLECTIF FOURNISSEURS	X401DELTA	401DELTA     DELTA TECHNOLOGIES	120430	20120417	DELTA TECHNOLOGIES	71,76	C			20130715		
